corpus	local_name	bytes	sha256	source_url
ietf	minutes-101-calext.txt	1607	07cac582f75b28d7d9342cc699701151065e7a5e9b55907db1b045dc47247044	https://www.ietf.org/proceedings/101/minutes/minutes-101-calext-00.txt
ietf	minutes-101-capport.txt	2119	1463eef879747204d089bc230458f24c061b521e5993dd8fc61dc8cab57058fe	https://www.ietf.org/proceedings/101/minutes/minutes-101-capport-00.txt
ietf	minutes-101-cbor.txt	14749	cc90f7913046da635d8d811e4aa46cd8196e8f99779dcf85cdff4dc55faac927	https://www.ietf.org/proceedings/101/minutes/minutes-101-cbor-00.txt
ietf	minutes-101-ccamp.txt	20752	f95cd896009796d84e07846a7a1fed68b9a51fcfed7714526a18858093a2c774	https://www.ietf.org/proceedings/101/minutes/minutes-101-ccamp-01.txt
ietf	minutes-101-coms.txt	14203	26741e2f754a6957dadccabcbe696c1df9aca4cdac5f016a183d5150363585aa	https://www.ietf.org/proceedings/101/minutes/minutes-101-coms-00.txt
ietf	minutes-101-detnet.txt	47036	2c464c2b5ecf8636f1cf2787d9474cc97629de1487a0a0b239a1c4fc3a5342b7	https://www.ietf.org/proceedings/101/minutes/minutes-101-detnet-00.txt
ietf	minutes-101-dhc.txt	3061	2b6c2f2dbaf5bd25dc840af82b9df68421ee6cc2883978779f59593870cdb5d6	https://www.ietf.org/proceedings/101/minutes/minutes-101-dhc-00.txt
ietf	minutes-101-dispatch.txt	3818	a993c78277d95bfa18a4680952215e4bc1223c5c55ecf03faec7f378a3f932dc	https://www.ietf.org/proceedings/101/minutes/minutes-101-dispatch-01.txt
ietf	minutes-101-dmarc.txt	3928	9423b514727cfd7a074a3f8132a91468032e30ecac90fb80c5fb42d85b7bd89d	https://www.ietf.org/proceedings/101/minutes/minutes-101-dmarc-01.txt
ietf	minutes-101-dmm.txt	13812	1afcdac4a8b51ff5c8d7b15153ca0cfdb201e6fc9242a03053d2fb56bf5bccba	https://www.ietf.org/proceedings/101/minutes/minutes-101-dmm-00.txt
ietf	minutes-101-dnsop.txt	13428	032e444317a7763adace7845b54e0b899ba61a1dd31deea7db604166ff8a1ffe	https://www.ietf.org/proceedings/101/minutes/minutes-101-dnsop-01.txt
ietf	minutes-101-dots.txt	10865	90dc90fd32c8d3ec5e5d78410da065c42637927054b8a54829ca959326f710ab	https://www.ietf.org/proceedings/101/minutes/minutes-101-dots-00.txt
ietf	minutes-101-dprive.txt	5002	c3b038a008a275b6ba5be8545ffdf22a67b4a9feca8e73310a2af79d1283c656	https://www.ietf.org/proceedings/101/minutes/minutes-101-dprive-00.txt
ietf	minutes-101-dtn.txt	15773	cbbee83204ea610cf7f606baac5fabe4ebc58f9bee129b9a456dc167448d4eab	https://www.ietf.org/proceedings/101/minutes/minutes-101-dtn-01.txt
ietf	minutes-101-edu-201803211215.txt	6965	c54f588defd3c02bf4f96c04d11285e567b90e2b227f531b17dd5692c49b2ba2	https://www.ietf.org/proceedings/101/minutes/minutes-101-edu-201803211215-00.txt
ietf	minutes-101-emu.txt	6886	079b676fd76528aaf1cd82380cecced5c22dae4dfe2cb3d9bfd81192c61bd7b4	https://www.ietf.org/proceedings/101/minutes/minutes-101-emu-01.txt
ietf	minutes-101-extra.txt	2941	27b46744f8665a03dc23c9fe5a8faa69a4e185559ae2750abb472ec7c2c8813b	https://www.ietf.org/proceedings/101/minutes/minutes-101-extra-00.txt
ietf	minutes-101-grow.txt	5613	6b9179cedd5651aae46627f9d908e7707cb079d3ac8c2a82277ce8bdeefb2bf1	https://www.ietf.org/proceedings/101/minutes/minutes-101-grow-00.txt
ietf	minutes-101-homenet.txt	8802	a7302b1b3a636bb7ba2b8943f1c8619e1b84f7926a87c1e960c38f15564543f4	https://www.ietf.org/proceedings/101/minutes/minutes-101-homenet-02.txt
ietf	minutes-101-i2rs.txt	1911	18c8bf9c9d30d52bdddff56dcf86ec1af13447eb600da8d0fbf84acfe0454857	https://www.ietf.org/proceedings/101/minutes/minutes-101-i2rs-01.txt
ietf	minutes-101-iasa20.txt	14416	88f0fa9be49a6de8f3a24da6db3107b56b61a5a719e0e3aebadefb1ac9fe02bc	https://www.ietf.org/proceedings/101/minutes/minutes-101-iasa20-00.txt
ietf	minutes-101-iccrg.txt	9264	f2f8c014887849da63ff131f57241e43b8cfacb8625482d1392cf1bca84fa1d9	https://www.ietf.org/proceedings/101/minutes/minutes-101-iccrg-00.txt
ietf	minutes-101-icnrg.txt	4262	e5c3aa69b87080f084cab1900bdcc0d763248dfacb420a2558eff9ea3d3ad91d	https://www.ietf.org/proceedings/101/minutes/minutes-101-icnrg-00.txt
ietf	minutes-101-idr.txt	9874	3756576031011ba1d936cdee7342fc0ed95a327c6319fcd9ae9cf88d727f9d46	https://www.ietf.org/proceedings/101/minutes/minutes-101-idr-01.txt
ietf	minutes-101-ila.txt	13515	980a13600b732debde71a6fb96aa2776ca223aa7c7768cc5d977866aa1140440	https://www.ietf.org/proceedings/101/minutes/minutes-101-ila-00.txt
ietf	minutes-101-intarea.txt	7570	29151c137a69973170ab233cca4e913eb2644c8f5dabd41fc01494faf0bebee2	https://www.ietf.org/proceedings/101/minutes/minutes-101-intarea-00.txt
ietf	minutes-101-ipsecme.txt	9872	6e6426bb7f2b42dcedbcde15df7c2d87486542c181f6e406ee66603a0c6f9774	https://www.ietf.org/proceedings/101/minutes/minutes-101-ipsecme-00.txt
ietf	minutes-101-ipwave.txt	10255	cbc77b967a9c68ce8dc5fe39195248742d94ebbb1cb085e73d2f12cf7043c8e4	https://www.ietf.org/proceedings/101/minutes/minutes-101-ipwave-01.txt
ietf	minutes-101-irtfopen.txt	14430	e5f32b0490793714714593c9d8a9b4c320b130a3290399ac7cf12489db80f9d4	https://www.ietf.org/proceedings/101/minutes/minutes-101-irtfopen-02.txt
ietf	minutes-101-jmap.txt	2241	61021f4e3dc13e590c540ee0edbcd40df8aa14f520b9e2e252db49ce99bec106	https://www.ietf.org/proceedings/101/minutes/minutes-101-jmap-00.txt
ietf	minutes-101-lamps.txt	5582	9d5cf8df458f6f645bb1975f66928db73f4e694262e097da01201edf67622c8f	https://www.ietf.org/proceedings/101/minutes/minutes-101-lamps-01.txt
ietf	minutes-101-lisp.txt	19370	16df0ede402c820a6c6626d211c56e4d9990b4c33f99c422b3920d8dfc65ab88	https://www.ietf.org/proceedings/101/minutes/minutes-101-lisp-04.txt
ietf	minutes-101-lpwan.txt	23073	24b6f24800d69b405124a03968b2b649d3395f9f50b26377ce9fcb46e96a0612	https://www.ietf.org/proceedings/101/minutes/minutes-101-lpwan-01.txt
ietf	minutes-101-lsr.txt	18002	964b95e8ddbb3a73160b79444ec2f5419ff5bcf2e483b096b87b9a93b55aa443	https://www.ietf.org/proceedings/101/minutes/minutes-101-lsr-00.txt
ietf	minutes-101-lwig.txt	4392	c9afa5da771b201263530114a30fa090e982c4d9fa3648f7147432635525f2d9	https://www.ietf.org/proceedings/101/minutes/minutes-101-lwig-00.txt
ietf	minutes-101-maprg.txt	26466	df9f901e2b5bae00ab7b3f69535ed418fe60be069e827183d6c2ace732c116b8	https://www.ietf.org/proceedings/101/minutes/minutes-101-maprg-00.txt
ietf	minutes-101-mboned.txt	5990	fc47edb51fc2a38e49bde51102873c64d2b48e5e18d65aefb50294f7bc076377	https://www.ietf.org/proceedings/101/minutes/minutes-101-mboned-00.txt
ietf	minutes-101-mile.txt	3890	72b63aa806cf3ec9a5e8e6e54d4629bc7068ed41ba09a5cf356cc977bcda7f53	https://www.ietf.org/proceedings/101/minutes/minutes-101-mile-01.txt
ietf	minutes-101-mls.txt	20504	b947845aef5e9e6d35f87e8119a96d352181b30f342436d68ab1ccd439fc879c	https://www.ietf.org/proceedings/101/minutes/minutes-101-mls-00.txt
